cycle,IF,ID,EX,MEM,WB,stalls_pending
85,"mov x9, x8","sub x8, x7, x6",,"mov x7, x6",,1
86,"mov x9, x8","sub x8, x7, x6",,,"mov x7, x6",0
87,"add x10, x9, x7","mov x9, x8","sub x8, x7, x6",,,2
88,"add x10, x9, x7","mov x9, x8",,"sub x8, x7, x6",,1
89,"add x10, x9, x7","mov x9, x8",,,"sub x8, x7, x6",0
90,"sub x11, x10, x9","add x10, x9, x7","mov x9, x8",,,2
91,"sub x11, x10, x9","add x10, x9, x7",,"mov x9, x8",,1
92,"sub x11, x10, x9","add x10, x9, x7",,,"mov x9, x8",0
93,"mov x12, x11","sub x11, x10, x9","add x10, x9, x7",,,2
94,"mov x12, x11","sub x11, x10, x9",,"add x10, x9, x7",,1
95,"mov x12, x11","sub x11, x10, x9",,,"add x10, x9, x7",0
96,"add x1, x12, x10","mov x12, x11","sub x11, x10, x9",,,2
97,"add x1, x12, x10","mov x12, x11",,"sub x11, x10, x9",,1
98,"add x1, x12, x10","mov x12, x11",,,"sub x11, x10, x9",0
99,"sub x2, x1, x12","add x1, x12, x10","mov x12, x11",,,2
100,"sub x2, x1, x12","add x1, x12, x10",,"mov x12, x11",,1
101,"sub x2, x1, x12","add x1, x12, x10",,,"mov x12, x11",0
102,"mov x3, x2","sub x2, x1, x12","add x1, x12, x10",,,2
103,"mov x3, x2","sub x2, x1, x12",,"add x1, x12, x10",,1
104,"mov x3, x2","sub x2, x1, x12",,,"add x1, x12, x10",0
105,"add x4, x3, x1","mov x3, x2","sub x2, x1, x12",,,2
106,"add x4, x3, x1","mov x3, x2",,"sub x2, x1, x12",,1
107,"add x4, x3, x1","mov x3, x2",,,"sub x2, x1, x12",0
108,"sub x5, x4, x3","add x4, x3, x1","mov x3, x2",,,2
109,"sub x5, x4, x3","add x4, x3, x1",,"mov x3, x2",,1
110,"sub x5, x4, x3","add x4, x3, x1",,,"mov x3, x2",0
111,"mov x6, x5","sub x5, x4, x3","add x4, x3, x1",,,2
112,"mov x6, x5","sub x5, x4, x3",,"add x4, x3, x1",,1
113,"mov x6, x5","sub x5, x4, x3",,,"add x4, x3, x1",0
114,"add x7, x6, x2","mov x6, x5","sub x5, x4, x3",,,2
115,"add x7, x6, x2","mov x6, x5",,"sub x5, x4, x3",,1
116,"add x7, x6, x2","mov x6, x5",,,"sub x5, x4, x3",0
117,"sub x8, x7, x6","add x7, x6, x2","mov x6, x5",,,2
118,"sub x8, x7, x6","add x7, x6, x2",,"mov x6, x5",,1
119,"sub x8, x7, x6","add x7, x6, x2",,,"mov x6, x5",0
120,"mov x9, x8","sub x8, x7, x6","add x7, x6, x2",,,2
121,"mov x9, x8","sub x8, x7, x6",,"add x7, x6, x2",,1
122,"mov x9, x8","sub x8, x7, x6",,,"add x7, x6, x2",0
123,"add x10, x9, x4","mov x9, x8","sub x8, x7, x6",,,2
124,"add x10, x9, x4","mov x9, x8",,"sub x8, x7, x6",,1
125,"add x10, x9, x4","mov x9, x8",,,"sub x8, x7, x6",0
126,,"add x10, x9, x4","mov x9, x8",,,2
127,,"add x10, x9, x4",,"mov x9, x8",,1
128,,"add x10, x9, x4",,,"mov x9, x8",0
129,,,"add x10, x9, x4",,,0
130,,,,"add x10, x9, x4",,0
131,,,,,"add x10, x9, x4",0
132,,,,,,0
